ID,Platform,Project Name,Project ID,Version Number,Version ID,Dependency Name,Dependency Platform,Dependency Kind,Optional Dependency,Dependency Requirements,Dependency Project ID
67824888,NPM,edge-currency-bitcoin,2479930,0.10.0,11492385,bccoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git#bcash,
67824937,NPM,edge-currency-bitcoin,2479930,0.10.0,11492385,buffer,NPM,runtime,False,^5.0.8,133354.0
67824881,NPM,edge-currency-bitcoin,2479930,0.10.0,11492385,airbitz-core-types,NPM,runtime,False,git+https://github.com/Airbitz/airbitz-core-types.git,2418797.0
67824898,NPM,edge-currency-bitcoin,2479930,0.10.0,11492385,bcoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git,130917.0
67824921,NPM,edge-currency-bitcoin,2479930,0.10.0,11492385,biggystring,NPM,runtime,False,^1.0.7,2376336.0
67842235,NPM,edge-currency-bitcoin,2479930,0.10.1,11492388,bcoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git,130917.0
67842219,NPM,edge-currency-bitcoin,2479930,0.10.1,11492388,airbitz-core-types,NPM,runtime,False,git+https://github.com/Airbitz/airbitz-core-types.git,2418797.0
67842227,NPM,edge-currency-bitcoin,2479930,0.10.1,11492388,bccoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git#bcash,
67842249,NPM,edge-currency-bitcoin,2479930,0.10.1,11492388,biggystring,NPM,runtime,False,^1.0.7,2376336.0
67842262,NPM,edge-currency-bitcoin,2479930,0.10.1,11492388,buffer,NPM,runtime,False,^5.0.8,133354.0
68308783,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,bccoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git#bcash,
68308794,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,jsonschema,NPM,runtime,False,^1.2.0,291982.0
68308810,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,coinstring,NPM,Development,False,^2.3.0,275041.0
68308785,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,bcoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git,130917.0
68308828,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,nsp,NPM,Development,False,^2.8.1,177528.0
68308645,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,airbitz-core-types,NPM,runtime,False,git+https://github.com/Airbitz/airbitz-core-types.git,2418797.0
68308796,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,lcoin,NPM,runtime,False,git+https://github.com/Airbitz/bcoin.git#litecoin,2333936.0
68308807,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,babel-plugin-transform-flow-strip-types,NPM,Development,False,^6.22.0,1063108.0
68308826,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,node-fetch,NPM,Development,False,^1.7.2,297678.0
68308812,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,disklet,NPM,Development,False,^0.2.4,2264563.0
68308816,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,flow-bin,NPM,Development,False,^0.56.0,148430.0
68308818,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,flow-copy-source,NPM,Development,False,^1.2.1,1192532.0
68308830,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,request,NPM,Development,False,^2.83.0,307050.0
68308788,NPM,edge-currency-bitcoin,2479930,0.10.2,11492393,biggystring,NPM,runtime,False,^3.0.0,2376336.0
